antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'""naperu meenakshi""'})","frozenset({'""jabardasth""', '""manasu mamatha""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""manasu mamatha""'})","frozenset({'""jabardasth""', '""naperu meenakshi""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""jabardasth""', '""naperu meenakshi""'})","frozenset({'""manasu mamatha""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""naperu meenakshi""'})","frozenset({'""swathi chinukulu""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""swathi chinukulu""'})","frozenset({'""naperu meenakshi""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""manasu mamatha""'})","frozenset({'""swathi chinukulu""', '""jabardasth""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""swathi chinukulu""'})","frozenset({'""jabardasth""', '""manasu mamatha""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""jabardasth""', '""manasu mamatha""'})","frozenset({'""swathi chinukulu""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""swathi chinukulu""', '""jabardasth""'})","frozenset({'""naperu meenakshi""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""swathi chinukulu""', '""jabardasth""'})","frozenset({'""manasu mamatha""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""jabardasth""', '""cash""'})","frozenset({'""swathi chinukulu""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""naperu meenakshi""', '""cash""'})","frozenset({'""manasu mamatha""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""swathi chinukulu""'})","frozenset({'""jabardasth""', '""cash""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""jabardasth""', '""manasu mamatha""'})","frozenset({'""naperu meenakshi""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""swathi chinukulu""', '""cash""'})","frozenset({'""manasu mamatha""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""manasu mamatha""', '""cash""'})","frozenset({'""swathi chinukulu""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""swathi chinukulu""'})","frozenset({'""manasu mamatha""', '""cash""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""naperu meenakshi""'})","frozenset({'""manasu mamatha""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""manasu mamatha""'})","frozenset({'""naperu meenakshi""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""swathi chinukulu""'})","frozenset({'""manasu mamatha""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""manasu mamatha""'})","frozenset({'""swathi chinukulu""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""jabardasth""', '""cash""'})","frozenset({'""manasu mamatha""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""manasu mamatha""'})","frozenset({'""swathi chinukulu""', '""naperu meenakshi""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'""swathi chinukulu""'})","frozenset({'""naperu meenakshi""', '""manasu mamatha""'})",0.0223975566301858,0.0223975566301858,0.0223975566301858,1.0,44.64772727272727,1.0,0.02189590608718342,inf,1.0000000000000002,1.0,1.0,1.0
